origin,destination,SO_time,UE_time,diff,flow,SO_routes_num,SO_routes_time,SO_routes_flow
1,6,12.062033388369105,12.064421757475692,0.0023883691065869073,545.1,2,"[12.05, 12.07]","[217.13, 327.97]"
1,7,11.010471842410197,11.069730706836618,0.05925886442642003,431.5,2,"[10.97, 11.09]","[285.97, 145.52999999999997]"
1,20,23.789514108632545,23.787742154811713,-0.0017719538208318397,382.39,2,"[23.779999999999998, 23.81]","[261.12, 121.27]"
1,21,19.097003937007873,19.096588582677168,-0.00041535433070549743,101.6,2,"[19.090000000000003, 19.1]","[30.44, 71.16]"
1,22,14.90700139470014,14.90658856345886,-0.0004128312412809976,71.7,2,"[14.900000000000002, 14.910000000000002]","[21.5, 50.2]"
1,23,14.607068631252426,14.606589147286822,-0.0004794839656039329,25.79,2,"[14.600000000000001, 14.610000000000001]","[7.56, 18.23]"
1,37,18.287102189781024,18.286591240875918,-0.0005109489051058347,13.7,2,"[18.28, 18.29]","[3.97, 9.729999999999999]"
1,38,11.756997214484683,11.756588672237699,-0.00040854224698350095,107.7,2,"[11.750000000000002, 11.760000000000002]","[32.34, 75.36]"
2,4,14.824912222746576,14.832606103507944,0.007693880761367566,1271.4,3,"[14.809999999999999, 14.84, 15.23]","[1064.65, 174.03999999999996, 32.71]"
2,5,23.170823160612212,23.170518900977324,-0.0003042596348876714,542.3,2,"[23.17, 23.190000000000005]","[519.98, 22.319999999999993]"
2,6,17.083643785796458,17.162345373577438,0.07870158778098002,808.3900000000001,2,"[16.919999999999998, 17.16]","[257.19, 551.2]"
2,7,15.971713876967096,16.16779462724528,0.19608075027818295,629.1,2,"[15.770000000000001, 16.16]","[303.72, 325.38]"
2,17,17.050701395348835,17.05051906976744,-0.00018232558139530397,107.5,2,"[17.049999999999997, 17.07]","[103.73, 3.769999999999996]"
2,18,19.320787283777467,19.32051893408135,-0.00026834969611755355,213.9,2,"[19.32, 19.340000000000003]","[205.48000000000002, 8.419999999999987]"
2,19,21.88072403560831,21.880518349985163,-0.00020568562314693395,101.1,2,"[21.88, 21.900000000000002]","[97.44, 3.66]"
2,20,27.14747759733907,27.150625709254548,0.003148111915479035,511.1,3,"[27.139999999999997, 27.16, 27.929999999999996]","[485.56, 21.24, 4.3]"
2,21,24.174591836734688,24.19427897187321,0.01968713513852194,156.8,3,"[24.14, 24.15, 24.189999999999998]","[0.24, 60.1, 96.46]"
2,22,19.992318661469724,20.004284220532323,0.011965559062598885,105.19,2,"[19.980000000000004, 20.0]","[40.4, 64.79]"
