Total Travel Time:	1304584.437294649
Cost function used:	BPRcostFunction
User equilibrium (UE) or system optimal (SO):	SO

init_node	term_node	flow	travelTime
1	117	7074.899999999995	1.1529198689124764
2	87	9662.500000000002	1.30777282856441
3	74	7669.000000000002	1.1766938339006718
4	233	12173.799999999996	1.6380226412299237
5	165	2586.7999999999975	1.0915747901668154
6	213	6576.599999999995	1.1370960748889005
7	253	7137.099999999993	1.1551455588519774
8	411	722.0999999999993	1.0000479629182888
9	379	1517.3704731379157	1.0009351531365829
9	395	720.129526862084	1.0000474415306848
10	338	105.01797036235295	1.000000021457084
10	362	44.28202963764698	1.000000000678307
11	309	485.79999999999984	1.0000098253099972
12	275	488.2	1.0000100209136558
13	262	36.99999999999998	1.0000000003306155
14	257	125.19999999999995	1.0000000433444538
15	254	407.1	1.000004845299525
16	263	248.9999999999997	1.0000006781310156
17	276	648.2999999999997	1.0000311616400124
18	322	2219.9775802472336	1.0042846028638113
18	348	648.8224197527654	1.0000312622054577
19	364	723.4738688872682	1.0000483289787074
19	380	314.52613111273166	1.0000017264068526
20	397	503.6000000000001	1.000011346426534
21	412	1346.8455507629017	1.0005804801904807
21	413	1294.9544492370974	1.000496059976408
22	414	375.1000000000003	1.0000034922431678
22	415	1149.2999999999988	1.0003077866980834
23	416	1522.5000000000005	1.000947862681671
24	266	5747.643496141987	0.15003649771232996
24	267	4387.580507140156	0.14939709501073428
25	268	6425.221583291613	0.15058030591061292
25	269	5510.9767036264375	0.14988661582826474
26	273	4391.067654975108	0.14939814145910615
26	274	1536.1535918903244	0.14907326306891017
27	302	3602.7128098833073	0.14921777888454957
27	303	2533.6661695729413	0.1491048818069582
28	303	3967.4540938509795	0.1492881302869264
28	304	3228.8508216818354	0.14916474727134935
29	308	6864.9560354789655	0.15103868256014272
29	337	6674.624340071514	0.15082908945491633
30	340	2470.4631296005423	0.14910136816699399
30	341	3203.966581055084	0.14916180895188758
31	329	3944.282062221062	0.14928303993657896
31	330	3726.6956371173414	0.14923943881263763
32	332	2794.3686897357616	0.14912241453055547
32	333	1542.3744144219343	0.14907334357771146
33	337	6864.284055365889	0.15103791119436039
33	361	4988.877950964629	0.14961787141786578
34	369	4270.676571278146	0.14936343113010783
34	385	3690.0507414145122	0.1492328070522689
35	373	2716.825368603775	0.1491166557314934
35	389	1721.6571235143044	0.14907611737146684
36	378	3338.391439723285	0.1491785133282194
36	394	3031.2023301687127	0.14914321822827406
37	401	6519.541104869815	0.1506710610803307
37	402	1482.0789186369188	0.14907260335474423
38	406	5209.4263096805325	0.14972168525362303
38	407	3197.8748286209684	0.14916109999174276
39	266	0.0	1.459848485
39	267	0.0	1.459848485
40	268	0.0	1.320075758
40	269	0.0	1.320075758
41	273	0.0	1.0
41	274	0.0	1.0
42	302	0.0	1.0
42	303	0.0	1.0
43	303	0.0	1.540151515
43	304	0.0	1.540151515
44	308	0.0	1.0
44	337	0.0	3.0
45	340	0.0	1.0
45	341	0.0	1.0
46	329	0.0	1.0
46	330	0.0	1.0
47	332	0.0	0.920075758
47	333	0.0	0.940151515
48	337	0.0	1.0
48	361	0.0	1.0
49	369	0.0	1.0
49	385	0.0	1.0
50	373	0.0	1.0
50	389	0.0	1.0
51	378	0.0	1.0
51	394	0.0	1.0
52	401	0.0	1.0
52	402	0.0	1.0
53	406	0.0	1.079924242
53	407	0.0	1.059848485
54	56	570.5140975428669	0.3333341403567634
54	230	105.66675036429872	0.33333333395006515
55	59	1546.3727426148562	0.33337690993792324
56	102	2751.8216051394106	0.33377033263116956
57	54	676.1808479071649	0.3333349261307815
57	235	1675.9685457606108	0.33339345915341245
58	137	2260.8857404826413	0.3335324527897871
58	145	3870.7377663275347	0.33504403737302313
59	146	1549.1478411646806	0.33337722359119254
