OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
1	2	1365.9
1	117	1365.8999999999992	1.1529198689124767
62	2	1365.8999999999992	1.9438866766534875
63	62	1365.8999999999992	3.174023401704803
113	195	1365.8999999999992	0.3362274718003684
114	113	1365.8999999999992	0.3299199302398405
115	114	1365.8999999999992	0.23898184414854176
116	115	1365.8999999999992	0.27835954416219805
117	116	1365.8999999999992	1.242952093743351
190	63	1365.8999999999992	0.39998890418181754
191	190	1365.8999999999992	0.9291363189428526
192	191	1365.8999999999992	1.0731289040184995
193	192	1365.8999999999992	0.3155639015718484
194	193	1365.8999999999992	0.5236725039774153
195	194	1365.8999999999992	0.988944918766654

1	3	407.4
1	117	407.3999999999999	1.1529198689124767
24	266	406.88664217867023	0.14987994857323558
25	268	406.88664217867023	0.15025732844125403
75	3	407.3999999999999	1.1163455956739794
76	75	407.3999999999999	1.1536594344696764
77	76	407.3999999999999	0.46939391530280394
78	77	407.3999999999999	0.27662648767540843
79	78	0.5133578213296551	0.2730333133324713
80	79	0.5133578213296551	1.411885719999756
81	80	0.5133578213296551	0.27361417503133867
82	81	0.5133578213296551	1.7621266772943884
83	82	0.5133578213296551	0.2736157174367995
84	83	0.5133578213296551	0.23253380345215957
85	84	0.5133578213296551	0.35435719364830864
113	195	407.3999999999999	0.3362274718003684
114	113	407.3999999999999	0.3299199302398405
115	114	407.3999999999999	0.23898184414854176
116	115	407.3999999999999	0.27835954416219805
117	116	407.3999999999999	1.242952093743351
190	85	0.5133578213296551	0.333333333
191	190	0.5133578213296551	0.9291363189428526
192	191	0.5133578213296551	1.0731289040184995
193	192	0.5133578213296551	0.3155639015718484
193	271	406.88664217867023	0.5366772782915867
194	193	407.3999999999999	0.5236725039774153
195	194	407.3999999999999	0.988944918766654
256	78	406.88664217867023	0.565376762375766
266	256	406.88664217867023	1.9312665162410108
267	24	406.88664217867023	0.15001307702793698
268	267	406.88664217867023	1.161262682458666
269	25	406.88664217867023	0.15018722411293417
270	269	406.88664217867023	1.0738817664303424
271	270	406.88664217867023	0.6227700693947374

1	4	861.4
1	117	861.3999999999997	1.1529198689124767
103	237	861.3999999999997	0.33335388385418213
104	103	861.3999999999997	0.7786601535092025
105	104	861.3999999999997	0.27416148366713605
106	105	861.3999999999997	0.3948340761740771
107	106	861.3999999999997	0.27416148366713605
108	107	861.3999999999997	0.6251712623490073
109	108	861.3999999999997	0.2741464336922597
110	109	861.3999999999997	1.2500662002236067
111	110	861.3999999999997	0.2741464336922597
112	111	861.3999999999997	0.7084554659288621
113	112	861.3999999999997	0.349211847953819
114	113	861.3999999999997	0.3299199302398405
115	114	861.3999999999997	0.23898184414854176
116	115	861.3999999999997	0.27835954416219805
117	116	861.3999999999997	1.242952093743351
234	4	861.3999999999997	1.3628519821272878
235	234	861.3999999999997	1.3628519821272878
236	235	861.3999999999997	0.13463607395465949
237	236	861.3999999999997	0.2537802989164163

1	5	354.4
1	117	354.40000000000015	1.1529198689124767
61	136	354.40000000000015	0.33343136230468384
103	61	354.40000000000015	0.33343136230468384
104	103	354.40000000000015	0.7786601535092025
105	104	354.40000000000015	0.27416148366713605
106	105	354.40000000000015	0.3948340761740771
107	106	354.40000000000015	0.27416148366713605
108	107	354.40000000000015	0.6251712623490073
109	108	354.40000000000015	0.2741464336922597
110	109	354.40000000000015	1.2500662002236067
111	110	354.40000000000015	0.2741464336922597
112	111	354.40000000000015	0.7084554659288621
113	112	354.40000000000015	0.349211847953819
114	113	354.40000000000015	0.3299199302398405
115	114	354.40000000000015	0.23898184414854176
116	115	354.40000000000015	0.27835954416219805
117	116	354.40000000000015	1.242952093743351
118	5	354.40000000000015	1.1020562452704585
119	118	354.40000000000015	1.1187733250860803
120	119	354.40000000000015	0.2740250121239598
121	120	354.40000000000015	0.594690997850236
122	121	354.40000000000015	0.6780378426260115
123	122	354.40000000000015	0.2952635104377349
124	123	354.40000000000015	0.933072410757541
125	124	354.40000000000015	0.29529023797460185
126	125	354.40000000000015	0.9821212224824988
127	126	354.40000000000015	0.2985937827774628
128	127	354.40000000000015	0.6808843080787873
129	128	354.40000000000015	0.3463235462392411
130	129	354.40000000000015	0.2912975263565504
131	130	354.40000000000015	1.009546413118872
132	131	354.40000000000015	0.37056234898981
133	132	354.40000000000015	0.5534482583312113
134	133	354.40000000000015	0.4120385718981826
