Total Travel Time:	581509.008661043
Cost function used:	BPRcostFunction
User equilibrium (UE) or system optimal (SO):	UE

init_node	term_node	flow	travelTime
1	170	41.120000000000054	0.0
1	269	147.84000000000006	0.0
1	329	740.268508610584	0.0
1	348	0.0	0.0
2	204	466.1465467187707	0.0
2	209	633.2954440412341	0.0
2	219	469.22307343014893	0.0
2	221	818.6837897434305	0.0
3	155	1088.8632657522862	0.0
3	161	565.3848754365771	0.0
3	195	221.25641549561075	0.0
3	346	0.0	0.0
4	298	1218.4977725817669	0.0
4	299	0.0	0.0
4	303	266.6799999999996	0.0
4	312	0.0	0.0
5	264	0.0	0.0
5	270	0.0	0.0
5	272	514.5600000000003	0.0
5	273	212.60476732930871	0.0
6	68	658.2025369539067	0.0
6	69	0.0	0.0
6	70	0.0	0.0
6	71	609.2529995875789	0.0
7	86	95.42158804693348	0.0
7	87	0.0	0.0
7	88	0.0	0.0
7	89	247.29930726372916	0.0
8	99	405.3271726011779	0.0
8	117	48.96999999999991	0.0
8	121	531.758411953068	0.0
8	134	0.0	0.0
9	83	0.0	0.0
9	84	0.0	0.0
9	95	468.97999999999956	0.0
9	97	0.0	0.0
10	172	0.0	0.0
10	175	223.96999999999989	0.0
10	238	2.03	0.0
10	242	75.89000000000011	0.0
11	27	323.4051606302754	0.0
11	186	0.0	0.0
11	191	162.31158804693334	0.0
11	192	0.0	0.0
12	37	0.0	0.0
12	38	196.45363161856082	0.0
12	64	0.0	0.0
12	65	508.796368381439	0.0
13	205	573.9052881757267	0.0
13	206	515.1191762640461	0.0
13	226	0.0	0.0
13	315	0.0	0.0
14	255	109.75523597366437	0.0
14	256	387.95087472647225	0.0
14	259	222.90262025683558	0.0
14	260	0.0	0.0
15	318	691.7432301367703	0.0
15	319	0.0	0.0
15	320	195.08000000000007	0.0
15	323	0.0	0.0
16	155	1077.1709236476709	0.0
16	277	1555.6220457755678	0.0
16	282	175.80153719253806	0.0
16	285	0.0	0.0
17	140	0.0	0.0
17	142	600.6354687060907	0.0
17	149	57.945925406962246	0.0
17	151	331.5517538039911	0.0
18	145	6.069999999999999	0.0
18	146	178.93670053140153	0.0
18	156	0.0	0.0
18	157	0.0	0.0
19	46	339.089369487457	0.0
19	49	0.0	0.0
19	334	112.76476732930875	0.0
19	337	0.0	0.0
20	209	1440.2435026273329	0.0
20	212	0.0	0.0
20	215	416.655839224858	0.0
20	324	0.0	0.0
21	205	595.1470957366322	0.0
21	314	679.3101808917733	0.0
21	315	0.0	0.0
21	349	0.0	0.0
22	352	660.3223280684133	0.0
22	355	705.8008645027719	0.0
22	356	0.0	0.0
22	357	0.0	0.0
23	166	184.5061525098668	0.0
23	351	0.0	0.0
23	352	476.7668605436466	0.0
23	353	533.4592799142738	0.0
24	238	26.759999999999984	0.0
24	239	0.0	0.0
24	242	11.0	0.0
24	243	0.0	0.0
25	206	475.341358849874	0.0
25	214	455.54365663902956	0.0
25	218	0.0	0.0
26	58	0.0	0.0
26	59	149.06097240844227	0.0
26	60	0.0	0.0
26	61	6.479027591557721	0.0
27	11	263.6736316185609	0.0
27	28	323.4051606302754	3.667319570034563
27	188	0.0	1.0
28	32	182.82000000000028	3.666733639873344
28	109	140.58516063027508	10.000117736998204
29	30	196.45363161856082	3.000072699157097
29	40	0.0	0.333333
30	33	196.45363161856082	7.00016963136656
30	189	0.0	11.333333
31	34	106.15747222143827	0.6666683774603535
32	33	67.22000000000006	5.333334771579343
32	40	182.82000000000028	1.6666972908548243
33	27	263.6736316185609	3.000235915205084
