Total Travel Time:	28181.824986097
Cost function used:	BPRcostFunction
User equilibrium (UE) or system optimal (SO):	UE

init_node	term_node	flow	travelTime
1	3	580.9695080696954	0.23897186772664428
3	1	262.1959609999985	0.2402972235325814
1	7	1186.1042419303044	0.2228361683640232
7	1	768.5734089999991	0.21890584439005792
1	9	0.0	0.402046
9	1	0.0	0.403219
2	3	1193.2922989999972	0.1600217603918003
3	2	1171.7404109999961	0.15912326012341824
3	6	1075.3764210696884	0.10951636737162683
6	3	1935.7466246154754	0.10783996647603176
3	7	134.7762329999997	0.349088135450758
7	3	121.97039638451982	0.3469671233030672
4	6	0.0	0.153312
6	4	0.0	0.151643
4	8	0.0	0.089394
8	4	0.0	0.090973
5	10	0.0	0.15102
10	5	0.0	0.148699
5	11	0.0	0.38247
11	5	0.0	0.374745
6	8	2999.088759439994	0.043414747794689075
8	6	2247.155198453033	0.03877811042178354
6	13	621.8285884530483	0.28345180349959354
13	6	459.42517898578154	0.2795709902796936
6	17	0.0	0.364887
17	6	0.0	0.361371
7	9	134.7762329999997	0.10557611946656256
9	7	157.2263033845195	0.1046236976205
7	13	267.6157429303028	0.08855905547548011
13	7	8.54858299999996	0.09274900000001814
8	11	1814.178859439996	0.08517965922230913
11	8	1266.6748344530504	0.08520838047571425
8	16	1184.909899999999	0.17774851838076178
16	8	980.4803639999989	0.17685878073106417
9	12	422.7559999999985	0.14420397002833443
12	9	450.8673809999986	0.14364275659190845
9	13	293.6410776154804	0.0641798707991221
13	9	287.97976699999896	0.06520455689200885
10	11	1266.6748344530504	0.026280477331864116
11	10	1814.178859439996	0.026159373057933383
10	18	717.3282051074589	0.1511099371907092
18	10	1299.7450689999985	0.15064354429958135
10	20	479.6513284399991	0.1668992384323553
20	10	869.5731315605068	0.16951815048734611
11	19	0.0	0.375603
19	11	0.0	0.372797
13	14	655.6366385599961	0.1356720848733532
14	13	212.48894854694538	0.12506610978687893
13	15	0.0	0.285875
15	13	0.0	0.296532
14	17	86.7880899999999	0.10123400068908724
17	14	348.13005110745536	0.10539440140766193
14	22	1122.653545559987	0.15321073544107827
22	14	402.14808443948755	0.14643716883550786
16	17	807.9757881074562	0.021253851055586404
17	16	1098.818407000002	0.022101381866767654
16	19	848.6083219999955	0.06895765658739952
19	16	339.2453561074546	0.06924605619710222
16	22	2020.9092589999952	0.048906612841541935
22	16	1482.815489999999	0.0486914283456565
17	22	0.0	0.173992
22	17	0.0	0.16739
18	19	339.2453561074546	0.03522604759486788
19	18	848.6083219999955	0.0559607753415395
18	21	737.7873240000042	0.07914585877531362
21	18	258.65664199999947	0.0796390606154821
