origin,destination,naive,gcd,inequity
1,2,0,0,
1,3,0,0,
1,4,0,0,
1,5,0,0,
1,6,0,0,
1,7,0,0,
1,8,0,0,
1,9,0,0,
1,10,1300,100,"[0.09030400000000015, 0.14361600000000027, 0.15993600000000024, 0.13926400000000025, 0.08160000000000014, 0.012544000000000017, 0.09849600000000017, 0.14745600000000025, 0.15942400000000026, 0.13440000000000027, 0.07238400000000013, 0.02457600000000005, 0.10617600000000017, 0.15078400000000028, 0.15840000000000026, 0.12902400000000025, 0.0626560000000001, 0.03609600000000006, 0.11334400000000021, 0.15360000000000026, 0.15686400000000028, 0.12313600000000019, 0.052416000000000094, 0.047104000000000076, 0.12000000000000022, 0.1559040000000003, 0.1548160000000003, 0.11673600000000017, 0.041664000000000076, 0.057600000000000096, 0.1261440000000002, 0.1576960000000003, 0.1522560000000003, 0.10982400000000019, 0.030400000000000055, 0.06758400000000012, 0.13177600000000023, 0.15897600000000028, 0.1491840000000003, 0.10240000000000019, 0.018624000000000036, 0.07705600000000015, 0.13689600000000024, 0.1597440000000003, 0.14560000000000026, 0.09446400000000017, 0.00633600000000001, 0.08601600000000015, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.00633600000000001, 0.09446400000000016, 0.14560000000000026, 0.1597440000000003, 0.13689600000000027, 0.07705600000000015, 0.018624000000000026, 0.10240000000000019, 0.14918400000000023, 0.15897600000000028, 0.13177600000000025, 0.06758400000000012, 0.030400000000000055, 0.10982400000000017, 0.15225600000000025, 0.15769600000000028, 0.12614400000000023, 0.05760000000000008, 0.04166400000000007, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.04710400000000007, 0.052416000000000074, 0.12313600000000023, 0.1568640000000003, 0.15360000000000026, 0.11334400000000018, 0.036096000000000045, 0.0626560000000001, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000019, 0.02457600000000004, 0.07238400000000011, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000017, 0.08160000000000014, 0.13926400000000028, 0.1599360000000003, 0.14361600000000024, 0.09030400000000016, 3.865418435582958e-25, 0.09030400000000016, 0.14361600000000024, 0.15993600000000027, 0.13926400000000025, 0.08160000000000014, 0.012544000000000024, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000016, 0.02457600000000004, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.12902400000000022, 0.06265600000000011, 0.03609600000000008, 0.11334400000000021, 0.15360000000000026, 0.15686400000000028, 0.12313600000000022, 0.05241600000000012, 0.04710400000000008, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.11673600000000021, 0.04166400000000008, 0.057600000000000096, 0.12614400000000023, 0.1576960000000003, 0.1522560000000003, 0.10982400000000019, 0.030400000000000055, 0.0675840000000001, 0.13177600000000025, 0.15897600000000028, 0.14918400000000026, 0.10240000000000019, 0.018624000000000036, 0.07705600000000011, 0.13689600000000024, 0.1597440000000003, 0.14560000000000026, 0.09446400000000017, 0.006336000000000013, 0.08601600000000013, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000016, 0.006336000000000015, 0.09446400000000016, 0.14560000000000026, 0.15974400000000025, 0.13689600000000024, 0.07705600000000014, 0.018624000000000026, 0.10240000000000019, 0.14918400000000032, 0.15897600000000028, 0.13177600000000023, 0.06758400000000014, 0.030400000000000055, 0.10982400000000021, 0.15225600000000025, 0.15769600000000025, 0.1261440000000002, 0.05760000000000008, 0.04166400000000007, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.0471040000000001, 0.05241600000000011, 0.12313600000000023, 0.15686400000000028, 0.15360000000000026, 0.11334400000000021, 0.03609600000000007, 0.0626560000000001, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000021, 0.024576000000000042, 0.07238400000000013, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000024, 0.08160000000000014, 0.13926400000000022, 0.15993600000000027, 0.14361600000000024, 0.09030400000000016, 1.5461673742331831e-24, 0.09030400000000015, 0.14361600000000024, 0.15993600000000033, 0.13926400000000028, 0.08160000000000014, 0.012544000000000026, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000016, 0.02457600000000005, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.12902400000000025, 0.06265600000000013, 0.03609600000000006, 0.11334400000000021, 0.15360000000000026, 0.1568640000000003, 0.12313600000000022, 0.05241600000000009, 0.04710400000000009, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.11673600000000021, 0.04166400000000009, 0.057600000000000096, 0.1261440000000002, 0.15769600000000028, 0.15225600000000028, 0.10982400000000019, 0.030400000000000055, 0.06758400000000014, 0.13177600000000023, 0.15897600000000028, 0.14918400000000023, 0.10240000000000019, 0.018624000000000033, 0.07705600000000012, 0.13689600000000018, 0.1597440000000003, 0.14560000000000026, 0.09446400000000017, 0.00633600000000001, 0.08601600000000015, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.00633600000000001, 0.09446400000000017, 0.14560000000000026, 0.1597440000000003, 0.13689600000000018, 0.07705600000000012, 0.018624000000000033, 0.10240000000000019, 0.14918400000000026, 0.15897600000000028, 0.13177600000000023, 0.06758400000000013, 0.030400000000000055, 0.10982400000000019, 0.15225600000000028, 0.15769600000000025, 0.1261440000000002, 0.05760000000000008, 0.0416640000000001, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.04710400000000009, 0.05241600000000009, 0.12313600000000022, 0.1568640000000003, 0.15360000000000026, 0.11334400000000021, 0.03609600000000006, 0.06265600000000013, 0.12902400000000025, 0.15840000000000026, 0.15078400000000028, 0.10617600000000021, 0.024576000000000053, 0.07238400000000016, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000026, 0.08160000000000014, 0.13926400000000028, 0.1599360000000003, 0.14361600000000024, 0.09030400000000015, 3.478876592024662e-24, 0.09030400000000016, 0.14361600000000024, 0.15993600000000027, 0.13926400000000022, 0.08160000000000014, 0.012544000000000024, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000013, 0.024576000000000042, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.1290240000000002, 0.0626560000000001, 0.03609600000000007, 0.11334400000000024, 0.15360000000000026, 0.15686400000000025, 0.12313600000000023, 0.052416000000000094, 0.047104000000000104, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.11673600000000021, 0.04166400000000007, 0.057600000000000096, 0.1261440000000002, 0.15769600000000028, 0.15225600000000025, 0.10982400000000024, 0.030400000000000055, 0.06758400000000012, 0.13177600000000023, 0.15897600000000028, 0.14918400000000032, 0.10240000000000019, 0.01862400000000003, 0.07705600000000012, 0.13689600000000024, 0.15974400000000025, 0.14560000000000026, 0.09446400000000016, 0.006336000000000014, 0.08601600000000016, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.006336000000000013, 0.09446400000000017, 0.14560000000000026, 0.1597440000000003, 0.13689600000000024, 0.07705600000000011, 0.018624000000000036, 0.10240000000000019, 0.14918400000000026, 0.15897600000000028, 0.13177600000000023, 0.06758400000000012, 0.030400000000000055, 0.10982400000000019, 0.1522560000000003, 0.1576960000000003, 0.12614400000000023, 0.05760000000000008, 0.04166400000000009, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.04710400000000008, 0.05241600000000011, 0.12313600000000022, 0.15686400000000028, 0.15360000000000026, 0.11334400000000021, 0.03609600000000008, 0.06265600000000011, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000019, 0.02457600000000004, 0.07238400000000016, 0.13440000000000027, 0.1594240000000003, 0.14745600000000028, 0.09849600000000018, 0.012544000000000024, 0.08160000000000014, 0.13926400000000025, 0.15993600000000027, 0.14361600000000027, 0.09030400000000016, 6.1846694969327326e-24, 0.09030400000000016, 0.14361600000000024, 0.15993600000000027, 0.13926400000000028, 0.08160000000000014, 0.012544000000000017, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000013, 0.024576000000000035, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.12902400000000022, 0.0626560000000001, 0.036096000000000045, 0.11334400000000018, 0.15360000000000026, 0.1568640000000003, 0.12313600000000023, 0.05241600000000009, 0.04710400000000007, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.1167360000000002, 0.04166400000000007, 0.057600000000000096, 0.12614400000000023, 0.15769600000000028, 0.15225600000000025, 0.10982400000000017, 0.030400000000000055, 0.06758400000000012, 0.13177600000000028, 0.1589760000000003, 0.14918400000000023, 0.10240000000000019, 0.018624000000000026, 0.07705600000000015, 0.13689600000000024, 0.1597440000000003, 0.14560000000000026, 0.09446400000000016, 0.006336000000000012, 0.08601600000000015, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.00633600000000001, 0.09446400000000017, 0.14560000000000026, 0.1597440000000003, 0.13689600000000024, 0.07705600000000015, 0.018624000000000043, 0.10240000000000019, 0.14918400000000032, 0.15897600000000028, 0.13177600000000023, 0.06758400000000012, 0.030400000000000055, 0.10982400000000019, 0.1522560000000003, 0.1576960000000003, 0.1261440000000002, 0.05760000000000008, 0.041664000000000076, 0.11673600000000017, 0.1548160000000003, 0.1559040000000003, 0.12000000000000019, 0.04710400000000008, 0.052416000000000094, 0.12313600000000022, 0.15686400000000028, 0.15360000000000026, 0.11334400000000021, 0.036096000000000066, 0.0626560000000001, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000019, 0.02457600000000005, 0.07238400000000013, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000015, 0.08160000000000014, 0.13926400000000025, 0.15993600000000024, 0.14361600000000027, 0.09030400000000015, 9.663546088957395e-24, 0.09030400000000015, 0.14361600000000027, 0.15993600000000024, 0.13926400000000025, 0.08160000000000014, 0.012544000000000017, 0.09849600000000017, 0.14745600000000025, 0.15942400000000026, 0.13440000000000027, 0.07238400000000013, 0.02457600000000005, 0.10617600000000017, 0.15078400000000028, 0.15840000000000026, 0.12902400000000025, 0.0626560000000001, 0.03609600000000006, 0.11334400000000021, 0.15360000000000026, 0.15686400000000028, 0.12313600000000019, 0.052416000000000094, 0.047104000000000076, 0.12000000000000022, 0.1559040000000003, 0.1548160000000003, 0.11673600000000017, 0.041664000000000076, 0.057600000000000096, 0.1261440000000002, 0.1576960000000003, 0.1522560000000003, 0.10982400000000019, 0.030400000000000055, 0.06758400000000012, 0.13177600000000023, 0.15897600000000028, 0.1491840000000003, 0.10240000000000019, 0.018624000000000036, 0.07705600000000015, 0.13689600000000024, 0.1597440000000003, 0.14560000000000026, 0.09446400000000017, 0.00633600000000001, 0.08601600000000015, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.00633600000000001, 0.09446400000000016, 0.14560000000000026, 0.1597440000000003, 0.13689600000000027, 0.07705600000000015, 0.018624000000000026, 0.10240000000000019, 0.14918400000000023, 0.15897600000000028, 0.13177600000000025, 0.06758400000000012, 0.030400000000000055, 0.10982400000000017, 0.15225600000000025, 0.15769600000000028, 0.12614400000000023, 0.05760000000000008, 0.04166400000000007, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.04710400000000007, 0.052416000000000074, 0.12313600000000023, 0.1568640000000003, 0.15360000000000026, 0.11334400000000018, 0.036096000000000045, 0.0626560000000001, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000019, 0.02457600000000004, 0.07238400000000011, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000017, 0.08160000000000014, 0.13926400000000028, 0.1599360000000003, 0.14361600000000024, 0.09030400000000016, 1.3915506368098648e-23, 0.09030400000000016, 0.14361600000000024, 0.15993600000000027, 0.13926400000000025, 0.08160000000000014, 0.012544000000000024, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000016, 0.02457600000000004, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.12902400000000022, 0.06265600000000011, 0.03609600000000008, 0.11334400000000021, 0.15360000000000026, 0.15686400000000028, 0.12313600000000022, 0.05241600000000012, 0.04710400000000008, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.11673600000000021, 0.04166400000000008, 0.057600000000000096, 0.12614400000000023, 0.1576960000000003, 0.1522560000000003, 0.10982400000000019, 0.030400000000000055, 0.0675840000000001, 0.13177600000000025, 0.15897600000000028, 0.14918400000000026, 0.10240000000000019, 0.018624000000000036, 0.07705600000000011, 0.13689600000000024, 0.1597440000000003, 0.14560000000000026, 0.09446400000000017, 0.006336000000000013, 0.08601600000000013, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000016, 0.006336000000000015, 0.09446400000000016, 0.14560000000000026, 0.15974400000000025, 0.13689600000000024, 0.07705600000000014, 0.018624000000000026, 0.10240000000000019, 0.14918400000000032, 0.15897600000000028, 0.13177600000000023, 0.06758400000000014, 0.030400000000000055, 0.10982400000000021, 0.15225600000000025, 0.15769600000000025, 0.1261440000000002, 0.05760000000000008, 0.04166400000000007, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.0471040000000001, 0.05241600000000011, 0.12313600000000023, 0.15686400000000028, 0.15360000000000026, 0.11334400000000021, 0.03609600000000007, 0.0626560000000001, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000021, 0.024576000000000042, 0.07238400000000013, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000024, 0.08160000000000014, 0.13926400000000022, 0.15993600000000027, 0.14361600000000024, 0.09030400000000016, 1.8940550334356493e-23, 0.09030400000000015, 0.14361600000000024, 0.15993600000000033, 0.13926400000000028, 0.08160000000000014, 0.012544000000000026, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000016, 0.02457600000000005, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.12902400000000025, 0.06265600000000013, 0.03609600000000006, 0.11334400000000021, 0.15360000000000026, 0.1568640000000003, 0.12313600000000022, 0.05241600000000009, 0.04710400000000009, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.11673600000000021, 0.04166400000000009, 0.057600000000000096, 0.1261440000000002, 0.15769600000000028, 0.15225600000000028, 0.10982400000000019, 0.030400000000000055, 0.06758400000000014, 0.13177600000000023, 0.15897600000000028, 0.14918400000000023, 0.10240000000000019, 0.018624000000000033, 0.07705600000000012, 0.13689600000000018, 0.1597440000000003, 0.14560000000000026, 0.09446400000000017, 0.00633600000000001, 0.08601600000000015, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.00633600000000001, 0.09446400000000017, 0.14560000000000026, 0.1597440000000003, 0.13689600000000018, 0.07705600000000012, 0.018624000000000033, 0.10240000000000019, 0.14918400000000026, 0.15897600000000028, 0.13177600000000023, 0.06758400000000013, 0.030400000000000055, 0.10982400000000019, 0.15225600000000028, 0.15769600000000025, 0.1261440000000002, 0.05760000000000008, 0.0416640000000001, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.04710400000000009, 0.05241600000000009, 0.12313600000000022, 0.1568640000000003, 0.15360000000000026, 0.11334400000000021, 0.03609600000000006, 0.06265600000000013, 0.12902400000000025, 0.15840000000000026, 0.15078400000000028, 0.10617600000000021, 0.024576000000000053, 0.07238400000000016, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000026, 0.08160000000000014, 0.13926400000000028, 0.1599360000000003, 0.14361600000000024, 0.09030400000000015, 2.473867798773093e-23, 0.09030400000000016, 0.14361600000000024, 0.15993600000000027, 0.13926400000000022, 0.08160000000000014, 0.012544000000000024, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000013, 0.024576000000000042, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.1290240000000002, 0.0626560000000001, 0.03609600000000007, 0.11334400000000024, 0.15360000000000026, 0.15686400000000025, 0.12313600000000023, 0.052416000000000094, 0.047104000000000104, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.11673600000000021, 0.04166400000000007, 0.057600000000000096, 0.1261440000000002, 0.15769600000000028, 0.15225600000000025, 0.10982400000000024, 0.030400000000000055, 0.06758400000000012, 0.13177600000000023, 0.15897600000000028, 0.14918400000000032, 0.10240000000000019, 0.01862400000000003, 0.07705600000000012, 0.13689600000000024, 0.15974400000000025, 0.14560000000000026, 0.09446400000000016, 0.006336000000000014, 0.08601600000000016, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.006336000000000013, 0.09446400000000017, 0.14560000000000026, 0.1597440000000003, 0.13689600000000024, 0.07705600000000011, 0.018624000000000036, 0.10240000000000019, 0.14918400000000026, 0.15897600000000028, 0.13177600000000023, 0.06758400000000012, 0.030400000000000055, 0.10982400000000019, 0.1522560000000003, 0.1576960000000003, 0.12614400000000023, 0.05760000000000008, 0.04166400000000009, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.04710400000000008, 0.05241600000000011, 0.12313600000000022, 0.15686400000000028, 0.15360000000000026, 0.11334400000000021, 0.03609600000000008, 0.06265600000000011, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000019, 0.02457600000000004, 0.07238400000000016, 0.13440000000000027, 0.1594240000000003, 0.14745600000000028, 0.09849600000000018, 0.012544000000000024, 0.08160000000000014, 0.13926400000000028, 0.15993600000000027, 0.14361600000000027, 0.09030400000000016, 3.130988932822196e-23, 0.09030400000000016, 0.14361600000000024, 0.15993600000000027, 0.13926400000000028, 0.08160000000000014, 0.012544000000000017, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000013, 0.024576000000000035, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.12902400000000022, 0.0626560000000001, 0.036096000000000045, 0.11334400000000018, 0.15360000000000026, 0.1568640000000003, 0.12313600000000023, 0.05241600000000009, 0.04710400000000007, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.1167360000000002, 0.04166400000000007, 0.057600000000000096, 0.12614400000000023, 0.15769600000000028, 0.15225600000000025, 0.10982400000000017, 0.030400000000000055, 0.06758400000000012, 0.13177600000000028, 0.1589760000000003, 0.14918400000000023, 0.10240000000000019, 0.018624000000000026, 0.07705600000000015, 0.13689600000000024, 0.1597440000000003, 0.14560000000000026, 0.09446400000000016, 0.006336000000000012, 0.08601600000000015, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.00633600000000001, 0.09446400000000017, 0.14560000000000026, 0.1597440000000003, 0.13689600000000024, 0.07705600000000015, 0.018624000000000043, 0.10240000000000019, 0.14918400000000032, 0.15897600000000028, 0.13177600000000023, 0.06758400000000012, 0.030400000000000055, 0.10982400000000019, 0.1522560000000003, 0.1576960000000003, 0.1261440000000002, 0.05760000000000008, 0.041664000000000076, 0.11673600000000017, 0.1548160000000003, 0.1559040000000003, 0.12000000000000019, 0.04710400000000008, 0.052416000000000094, 0.12313600000000022, 0.15686400000000028, 0.15360000000000026, 0.11334400000000021, 0.036096000000000066, 0.0626560000000001, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000019, 0.02457600000000005, 0.07238400000000013, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000015, 0.08160000000000014, 0.13926400000000025, 0.15993600000000024, 0.14361600000000027, 0.09030400000000015, 3.865418435582958e-23, 0.09030400000000015, 0.14361600000000027, 0.15993600000000024, 0.13926400000000025, 0.08160000000000014, 0.012544000000000017, 0.09849600000000017, 0.14745600000000025, 0.15942400000000026, 0.13440000000000027, 0.07238400000000013, 0.02457600000000005, 0.10617600000000017, 0.15078400000000028, 0.15840000000000026, 0.12902400000000025, 0.0626560000000001, 0.03609600000000006, 0.11334400000000021, 0.15360000000000026, 0.15686400000000028, 0.12313600000000019, 0.052416000000000094, 0.047104000000000076, 0.12000000000000022, 0.1559040000000003, 0.1548160000000003, 0.11673600000000017, 0.041664000000000076, 0.057600000000000096, 0.1261440000000002, 0.1576960000000003, 0.1522560000000003, 0.10982400000000019, 0.030400000000000055, 0.06758400000000012, 0.13177600000000023, 0.15897600000000028, 0.1491840000000003, 0.10240000000000019, 0.018624000000000036, 0.07705600000000015, 0.13689600000000024, 0.1597440000000003, 0.14560000000000026, 0.09446400000000017, 0.00633600000000001, 0.08601600000000015, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.00633600000000001, 0.09446400000000016, 0.14560000000000026, 0.1597440000000003, 0.13689600000000027, 0.07705600000000015, 0.018624000000000026, 0.10240000000000019, 0.14918400000000023, 0.1589760000000003, 0.13177600000000025, 0.06758400000000012, 0.030400000000000055, 0.10982400000000017, 0.15225600000000025, 0.15769600000000028, 0.12614400000000023, 0.05760000000000008, 0.04166400000000007, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.04710400000000007, 0.052416000000000074, 0.12313600000000023, 0.1568640000000003, 0.15360000000000026, 0.11334400000000018, 0.036096000000000045, 0.0626560000000001, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000019, 0.02457600000000004, 0.07238400000000011, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000017, 0.08160000000000014, 0.13926400000000028, 0.1599360000000003, 0.14361600000000024, 0.09030400000000016, 4.677156307055379e-23, 0.09030400000000016, 0.14361600000000024, 0.15993600000000027, 0.13926400000000025, 0.08160000000000014, 0.012544000000000024, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000016, 0.02457600000000004, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.12902400000000022, 0.06265600000000011, 0.03609600000000008, 0.11334400000000021, 0.15360000000000026, 0.15686400000000028, 0.12313600000000022, 0.05241600000000012, 0.04710400000000008, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.11673600000000021, 0.04166400000000008, 0.057600000000000096, 0.12614400000000023, 0.1576960000000003, 0.1522560000000003, 0.10982400000000019, 0.030400000000000055, 0.0675840000000001, 0.13177600000000025, 0.15897600000000028, 0.14918400000000026, 0.10240000000000019, 0.018624000000000036, 0.07705600000000011, 0.13689600000000024, 0.1597440000000003, 0.14560000000000026, 0.09446400000000017, 0.006336000000000013, 0.08601600000000013, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000016, 0.006336000000000015, 0.09446400000000016, 0.14560000000000026, 0.15974400000000025, 0.13689600000000024, 0.07705600000000014, 0.018624000000000026, 0.10240000000000019, 0.14918400000000032, 0.15897600000000028, 0.13177600000000023, 0.06758400000000014, 0.030400000000000055, 0.10982400000000021, 0.15225600000000025, 0.15769600000000025, 0.1261440000000002, 0.05760000000000008, 0.04166400000000007, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.0471040000000001, 0.05241600000000011, 0.12313600000000023, 0.15686400000000028, 0.15360000000000026, 0.11334400000000021, 0.03609600000000007, 0.0626560000000001, 0.12902400000000022, 0.15840000000000026, 0.15078400000000028, 0.10617600000000021, 0.024576000000000042, 0.07238400000000013, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000024, 0.08160000000000014, 0.13926400000000022, 0.15993600000000027, 0.14361600000000024, 0.09030400000000016, 5.566202547239459e-23, 0.09030400000000015, 0.14361600000000024, 0.15993600000000033, 0.13926400000000028, 0.08160000000000014, 0.012544000000000026, 0.09849600000000018, 0.14745600000000025, 0.1594240000000003, 0.13440000000000027, 0.07238400000000016, 0.02457600000000005, 0.10617600000000019, 0.15078400000000028, 0.15840000000000026, 0.12902400000000025, 0.06265600000000013, 0.03609600000000006, 0.11334400000000021, 0.15360000000000026, 0.1568640000000003, 0.12313600000000022, 0.05241600000000009, 0.04710400000000009, 0.12000000000000022, 0.15590400000000026, 0.1548160000000003, 0.11673600000000021, 0.04166400000000009, 0.057600000000000096, 0.1261440000000002, 0.15769600000000028, 0.15225600000000028, 0.10982400000000019, 0.030400000000000055, 0.06758400000000014, 0.13177600000000023, 0.15897600000000028, 0.14918400000000023, 0.10240000000000019, 0.018624000000000033, 0.07705600000000012, 0.13689600000000018, 0.1597440000000003, 0.14560000000000026, 0.09446400000000017, 0.00633600000000001, 0.08601600000000015, 0.14150400000000027, 0.1600000000000003, 0.14150400000000027, 0.08601600000000015, 0.00633600000000001, 0.09446400000000017, 0.14560000000000026, 0.1597440000000003, 0.13689600000000018, 0.07705600000000012, 0.018624000000000033, 0.10240000000000019, 0.14918400000000026, 0.15897600000000028, 0.13177600000000023, 0.06758400000000013, 0.030400000000000055, 0.10982400000000019, 0.15225600000000028, 0.15769600000000025, 0.1261440000000002, 0.05760000000000008, 0.0416640000000001, 0.11673600000000021, 0.1548160000000003, 0.15590400000000026, 0.12000000000000019, 0.04710400000000009, 0.05241600000000009, 0.12313600000000022, 0.1568640000000003, 0.15360000000000026, 0.11334400000000021, 0.03609600000000006, 0.06265600000000013, 0.12902400000000025, 0.15840000000000026, 0.15078400000000028, 0.10617600000000021, 0.024576000000000053, 0.07238400000000016, 0.13440000000000027, 0.1594240000000003, 0.14745600000000025, 0.09849600000000018, 0.012544000000000026, 0.08160000000000014, 0.13926400000000028, 0.1599360000000003, 0.14361600000000024, 0.09030400000000015, 6.532557156135199e-23]"
1,11,0,0,
