origin,destination,naive,gcd,inequity
2,59,0,0,
3,1,0,0,
3,2,38,38,"[0.006116343490304719, 0.00425484764542937, 0.0038470914127423893, 0.00624044321329641, 0.0006559556786703609, 0.005956786703601118, 0.004627146814404438, 0.003403878116343495, 0.006329085872576189, 0.0012764542936288114, 0.005761772853185605, 0.004963988919667598, 0.002925207756232692, 0.006382271468144056, 0.0018614958448753497, 0.005531301939058181, 0.005265373961218846, 0.002411080332409977, 0.0064000000000000124, 0.0024110803324099766, 0.005265373961218846, 0.005531301939058181, 0.0018614958448753506, 0.006382271468144057, 0.002925207756232691, 0.0049639889196676015, 0.005761772853185606, 0.0012764542936288116, 0.006329085872576188, 0.003403878116343496, 0.00462714681440444, 0.005956786703601118, 0.000655955678670361, 0.00624044321329641, 0.0038470914127423884, 0.00425484764542937, 0.006116343490304719, 1.33317492982351e-28]"
3,4,0,0,
3,5,0,0,
3,6,0,0,
3,7,124,124,"[0.006118626430801327, 0.00424224765868892, 0.0038676378772112873, 0.006233506763787803, 0.0006043704474505807, 0.005973777315296641, 0.004586888657648341, 0.003463059313215444, 0.006318418314256063, 0.0011787721123829493, 0.005798959417273747, 0.004901560874089553, 0.0030285119667013923, 0.006373361082206118, 0.0017232049947971085, 0.005594172736732643, 0.005186264308012556, 0.0025639958376691284, 0.00639833506763796, 0.002237669094693057, 0.005359417273673326, 0.005440998959417344, 0.0020695109261186524, 0.006393340270551593, 0.002722164412070794, 0.005094693028095798, 0.005665764828303921, 0.0015450572320499676, 0.006358376690947013, 0.0031766909469303226, 0.00480000000000006, 0.00586056191467229, 0.0009906347554630717, 0.006293444328824225, 0.0036012486992716385, 0.004475338189386113, 0.006025390218522448, 0.0004062434963579659, 0.006198543184183222, 0.003995837669094746, 0.004120707596253955, 0.006160249739854399, 0.0002047866805411058, 0.0060736732570240105, 0.004360457856399639, 0.003736108220603587, 0.0062651404786681335, 0.0007991675338189488, 0.005918834547346591, 0.0046951092611863246, 0.003321540062435005, 0.006340062434963661, 0.0013635796045785814, 0.0057340270551509585, 0.004999791883454798, 0.002877003121748217, 0.006385015608740978, 0.0018980228928200031, 0.005519250780437117, 0.0052745057232050615, 0.0024024973985432153, 0.006400000000000081, 0.0024024973985432158, 0.005274505723205062, 0.005519250780437113, 0.0018980228928200044, 0.006385015608740977, 0.0028770031217482156, 0.0049997918834548015, 0.005734027055150959, 0.0013635796045785812, 0.006340062434963662, 0.003321540062435007, 0.004695109261186324, 0.0059188345473465895, 0.0007991675338189487, 0.006265140478668133, 0.003736108220603585, 0.00436045785639964, 0.0060736732570240105, 0.00020478668054110563, 0.006160249739854396, 0.004120707596253957, 0.0039958376690947435, 0.006198543184183223, 0.00040624349635796567, 0.006025390218522449, 0.004475338189386115, 0.0036012486992716385, 0.006293444328824222, 0.000990634755463072, 0.005860561914672292, 0.004800000000000062, 0.00317669094693032, 0.006358376690947012, 0.0015450572320499676, 0.005665764828303921, 0.005094693028095799, 0.0027221644120707937, 0.006393340270551591, 0.0020695109261186537, 0.005440998959417345, 0.005359417273673324, 0.0022376690946930566, 0.006398335067637959, 0.002563995837669128, 0.005186264308012555, 0.00559417273673264, 0.001723204994797109, 0.0063733610822061205, 0.0030285119667013915, 0.0049015608740895535, 0.005798959417273747, 0.0011787721123829498, 0.006318418314256066, 0.003463059313215445, 0.004586888657648343, 0.0059737773152966425, 0.0006043704474505796, 0.006233506763787802, 0.003867637877211288, 0.0042422476586889205, 0.006118626430801328, 3.9229263955735696e-26]"
3,24,0,0,
3,26,38,38,"[0.0019310941828254542, 0.0032770083102492582, 0.004037742382271407, 0.004213296398891903, 0.003803670360110743, 0.0028088642659279354, 0.0012288781163434716, 0.0008426592797783801, 0.002539681440443174, 0.003651523545706316, 0.004178185595567802, 0.0041196675900276375, 0.003475969529085818, 0.002247091412742348, 0.00043303324099722314, 0.0015916897506924965, 0.00305463988919663, 0.003932409972299111, 0.0042249999999999345, 0.003932409972299108, 0.0030546398891966296, 0.0015916897506924965, 0.00043303324099722314, 0.002247091412742348, 0.0034759695290858188, 0.004119667590027637, 0.004178185595567802, 0.003651523545706316, 0.0025396814404431752, 0.0008426592797783801, 0.0012288781163434712, 0.0028088642659279354, 0.003803670360110744, 0.004213296398891902, 0.004037742382271407, 0.003277008310249257, 0.001931094182825456, 4.089454932665725e-27]"
3,30,0,0,
