OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
19	17	1.04
8	145	1.04	0.0
18	230	1.04	0.0
19	350	1.04	0.0
33	273	1.04	0.0
44	45	1.04	0.6666841970812322
45	208	1.04	11.333460664961652
46	51	1.04	0.6670519661414016
49	18	1.04	0.0
51	44	1.04	1.6666754946532536
145	151	1.04	0.8654274586857025
147	326	1.04	0.7652042052541058
150	147	1.04	0.35834448204969
151	174	1.04	10.509388844406667
174	33	1.04	0.0
208	209	1.04	8.666764626153773
209	226	1.04	5.666730832486459
224	17	1.04	0.0
226	224	1.04	12.333471929517424
230	46	1.04	4.669361761834914
247	150	1.04	0.33612474364746026
273	49	1.04	4.28775736249432
325	8	1.04	0.0
326	325	1.04	7.652038609123856
350	247	1.04	14.060380473643232

