OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
9	14	6.21
8	121	6.21	0.0
9	95	6.21	0.0
17	142	6.21	0.0
19	46	6.21	0.0
46	47	6.21	1.3336168260677612
47	141	6.21	2.0000030313752344
48	49	6.21	3.001395544852996
49	19	6.21	0.0
95	99	6.21	11.090223627985246
99	8	6.21	0.0
121	128	6.21	10.024000484071179
128	131	6.21	0.6696019999251507
131	48	6.21	21.013936847219707
141	150	6.21	5.000007578438086
142	143	6.21	0.33343995216338257
143	258	6.21	1.7436327731191046
147	160	6.21	12.666686198710323
149	17	6.21	0.0
150	147	6.21	3.666672557521768
160	149	6.21	8.666680135959854
258	354	6.21	10.810520682507757
260	14	6.21	0.0
353	358	6.21	9.90655092919713
354	353	6.21	1.0461794546355718
358	260	6.21	12.980997663277385

