OD PAIRS
init_node	term_node	demand
init_node	term_node	flow	travelTimeOnLink
16	12	700.0
1	3	131.8118239113251	4.008966857169086
2	1	131.8118239113251	6.000882181803444
3	12	570.0320282080908	4.020443903817435
4	3	438.2202042967653	4.2687752806488
5	4	438.2202042967653	2.314803461277716
6	2	131.8118239113251	6.669018950725029
6	5	221.04982697370681	9.604134035934017
7	8	197.83431787888514	5.702408726622947
8	6	352.8616508850315	14.448646283917899
8	9	161.4405814430684	15.45315349169436
9	5	217.1703773230584	9.8178370637183
10	9	55.729795879990114	5.7325489751575756
10	11	129.96797179190958	12.354591538344463
11	12	129.96797179190958	13.477200160110202
16	8	316.46791444921496	10.309229069603752
16	10	185.69776767189964	20.23444847255747
16	18	197.83431787888514	3.1711506959290814
18	7	197.83431787888514	2.0660426517373742

